race_id,competition,extracted_frames,total_frames,success_rate,fps,frame_width,frame_height,start_frame,finish_frame,athlete_lane_inferred,athlete_mean_x,file_path
Speed_finals_Innsbruck_2024_race024,innsbruck_2024,299,301,99.33554817275747,30.0,1280,720,90,390,right,0.61,data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race024_pose.json
Speed_finals_Innsbruck_2024_race025,innsbruck_2024,360,361,99.7229916897507,30.0,1280,720,90,450,right,0.775,data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race025_pose.json
Speed_finals_Innsbruck_2024_race026,innsbruck_2024,268,271,98.8929889298893,30.0,1280,720,45,315,center,0.456,data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race026_pose.json
Speed_finals_Innsbruck_2024_race027,innsbruck_2024,240,241,99.5850622406639,30.0,1280,720,90,330,right,0.728,data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race027_pose.json
Speed_finals_Innsbruck_2024_race028,innsbruck_2024,359,361,99.44598337950139,30.0,1280,720,45,405,left,0.448,data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race028_pose.json
Speed_finals_Innsbruck_2024_race029,innsbruck_2024,350,361,96.95290858725761,30.0,1280,720,45,405,right,0.776,data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race029_pose.json
Speed_finals_Innsbruck_2024_race030,innsbruck_2024,358,451,79.37915742793791,30.0,1280,720,45,495,right,0.626,data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race030_pose.json
Speed_finals_Innsbruck_2024_race031,innsbruck_2024,175,181,96.68508287292818,30.0,1280,720,45,225,right,0.695,data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race031_pose.json
Speed_finals_Innsbruck_2024_race032,innsbruck_2024,235,271,86.71586715867159,30.0,1280,720,90,360,center,0.513,data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race032_pose.json
Speed_finals_Seoul_2024_race001,seoul_2024,199,200,99.5,30.0,1280,720,45,244,right,0.743,data/processed/poses/single_athlete/poses_seoul_2024/Speed_finals_Seoul_2024_race001_pose.json
Speed_finals_Seoul_2024_race002,seoul_2024,217,218,99.54128440366972,30.0,1280,720,45,262,left,0.302,data/processed/poses/single_athlete/poses_seoul_2024/Speed_finals_Seoul_2024_race002_pose.json
Speed_finals_Seoul_2024_race003,seoul_2024,229,229,100.0,30.0,1280,720,45,273,left,0.342,data/processed/poses/single_athlete/poses_seoul_2024/Speed_finals_Seoul_2024_race003_pose.json
Speed_finals_Seoul_2024_race004,seoul_2024,238,238,100.0,30.0,1280,720,45,282,left,0.33,data/processed/poses/single_athlete/poses_seoul_2024/Speed_finals_Seoul_2024_race004_pose.json
Speed_finals_Seoul_2024_race005,seoul_2024,215,215,100.0,30.0,1280,720,45,259,left,0.299,data/processed/poses/single_athlete/poses_seoul_2024/Speed_finals_Seoul_2024_race005_pose.json
Speed_finals_Seoul_2024_race006,seoul_2024,210,210,100.0,30.0,1280,720,45,254,left,0.287,data/processed/poses/single_athlete/poses_seoul_2024/Speed_finals_Seoul_2024_race006_pose.json
Speed_finals_Seoul_2024_race007,seoul_2024,290,301,96.3455149501661,30.0,1280,720,45,345,right,0.604,data/processed/poses/single_athlete/poses_seoul_2024/Speed_finals_Seoul_2024_race007_pose.json
Speed_finals_Seoul_2024_race008,seoul_2024,329,331,99.39577039274926,30.0,1280,720,45,375,left,0.244,data/processed/poses/single_athlete/poses_seoul_2024/Speed_finals_Seoul_2024_race008_pose.json
Speed_finals_Seoul_2024_race009,seoul_2024,217,217,100.0,30.0,1280,720,45,261,left,0.307,data/processed/poses/single_athlete/poses_seoul_2024/Speed_finals_Seoul_2024_race009_pose.json
Speed_finals_Seoul_2024_race010,seoul_2024,317,318,99.68553459119497,30.0,1280,720,45,362,right,0.638,data/processed/poses/single_athlete/poses_seoul_2024/Speed_finals_Seoul_2024_race010_pose.json
