model,method,feature,score,score_std
xgb_smote,permutation,post_body_lean_std,0.4562182247715859,0.03861551209114157
xgb_smote,permutation,post_hip_width_ratio,0.0,0.0
xgb_smote,permutation,post_avg_reach_ratio,0.0,0.0
xgb_smote,permutation,post_max_reach_ratio,0.0,0.0
xgb_smote,permutation,freq_limb_sync_ratio,0.0,0.0
xgb_smote,permutation,freq_hand_movement_amplitude,0.0,0.0
xgb_smote,permutation,freq_foot_movement_amplitude,0.013254985754985748,0.023033888508131522
xgb_smote,permutation,freq_foot_frequency_hz,0.0,0.0
xgb_smote,permutation,freq_hand_frequency_hz,0.0,0.0
xgb_smote,permutation,freq_movement_regularity,0.0,0.0
