iteration,metric,reference_minus_cnn
34,precision_beginner,1.0
34,recall_beginner,1.0
34,roc_auc,0.5529411764705883
34,pr_auc,0.917594616697001
35,accuracy,0.13084112149532712
35,balanced_accuracy,0.5485436893203883
35,f1_macro,0.535
35,f1_beginner,1.0
35,precision_beginner,1.0
35,recall_beginner,1.0
35,roc_auc,0.4830097087378641
35,pr_auc,0.9474440460622722
36,accuracy,0.10280373831775702
36,balanced_accuracy,0.44636963696369636
36,f1_macro,0.45044010715652516
36,f1_beginner,0.8461538461538461
36,precision_beginner,0.8571428571428572
36,recall_beginner,0.8333333333333334
36,roc_auc,0.3201320132013201
36,pr_auc,0.8741356364573285
37,accuracy,0.12149532710280375
37,balanced_accuracy,0.42354368932038833
37,f1_macro,0.4659966499162479
37,f1_beginner,0.8666666666666667
37,precision_beginner,0.9090909090909091
37,recall_beginner,0.75
37,roc_auc,0.24514563106796117
37,pr_auc,0.9070083663106919
38,accuracy,0.13084112149532712
38,balanced_accuracy,0.33571428571428574
38,f1_macro,0.3860824742268041
38,f1_beginner,0.7
38,precision_beginner,0.7692307692307692
38,recall_beginner,0.5714285714285714
38,roc_auc,0.19999999999999996
38,pr_auc,0.8296422096422097
39,accuracy,0.09345794392523366
39,balanced_accuracy,0.5336538461538461
39,f1_macro,0.5245098039215687
39,f1_beginner,1.0
39,precision_beginner,1.0
39,recall_beginner,1.0
39,roc_auc,0.6442307692307692
39,pr_auc,0.9638629671104475
40,accuracy,0.09345794392523366
40,balanced_accuracy,0.529126213592233
40,f1_macro,0.5245098039215685
40,f1_beginner,1.0
40,precision_beginner,1.0
40,recall_beginner,1.0
40,roc_auc,0.5097087378640777
40,pr_auc,0.9540064102564103
41,accuracy,0.12149532710280375
41,balanced_accuracy,0.5252525252525253
41,f1_macro,0.5323383084577115
41,f1_beginner,1.0
41,precision_beginner,1.0
41,recall_beginner,1.0
41,roc_auc,0.6565656565656566
41,pr_auc,0.9342374144313659
42,accuracy,0.08411214953271029
42,balanced_accuracy,0.404126213592233
42,f1_macro,0.43125839677563815
42,f1_beginner,0.8181818181818181
42,precision_beginner,0.8571428571428572
42,recall_beginner,0.75
42,roc_auc,0.4975728155339806
42,pr_auc,0.9106049445237328
43,accuracy,0.09345794392523366
43,balanced_accuracy,0.4294117647058824
43,f1_macro,0.4414191419141914
43,f1_beginner,0.8333333333333334
